# source, target, weight, layer
0,5,1,1
0,7,1,1
0,10,1,1
0,11,1,1
0,13,1,1
0,15,1,1
0,16,1,1
0,18,1,1
0,20,1,1
0,21,1,1
0,25,1,1
0,26,1,1
0,7,1,2
0,10,1,2
0,11,1,2
0,1,1,3
0,4,1,3
0,5,1,3
0,10,1,3
0,11,1,3
0,13,1,3
0,15,1,3
1,0,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,1,1
1,6,1,1
1,7,1,1
1,9,1,1
1,10,1,1
1,13,1,1
1,14,1,1
1,15,1,1
1,18,1,1
1,19,1,1
1,20,1,1
1,4,1,2
1,5,1,2
1,7,1,2
1,9,1,2
1,10,1,2
1,14,1,2
1,15,1,2
1,20,1,2
1,4,1,3
1,5,1,3
1,7,1,3
1,9,1,3
1,14,1,3
1,15,1,3
1,20,1,3
2,3,1,1
2,6,1,1
2,7,1,1
2,8,1,1
2,10,1,1
2,3,1,2
2,6,1,2
2,7,1,2
2,10,1,2
2,3,1,3
2,6,1,3
2,10,1,3
3,1,1,1
3,2,1,1
3,4,1,1
3,5,1,1
3,6,1,1
3,9,1,1
3,2,1,2
3,9,1,2
3,2,1,3
4,0,1,1
4,1,1,1
4,5,1,1
4,7,1,1
4,9,1,1
4,10,1,1
4,13,1,1
4,14,1,1
4,15,1,1
4,18,1,1
4,19,1,1
4,20,1,1
4,21,1,1
4,22,1,1
4,26,1,1
4,27,1,1
4,28,1,1
4,1,1,2
4,5,1,2
4,7,1,2
4,9,1,2
4,10,1,2
4,14,1,2
4,15,1,2
4,18,1,2
4,20,1,2
4,27,1,2
4,1,1,3
4,5,1,3
4,7,1,3
4,10,1,3
4,14,1,3
4,15,1,3
4,18,1,3
4,20,1,3
5,0,1,1
5,1,1,1
5,2,1,1
5,3,1,1
5,4,1,1
5,6,1,1
5,7,1,1
5,9,1,1
5,10,1,1
5,11,1,1
5,19,1,1
5,20,1,1
5,21,1,1
5,22,1,1
5,23,1,1
5,25,1,1
5,26,1,1
5,28,1,1
5,0,1,2
5,1,1,2
5,2,1,2
5,3,1,2
5,4,1,2
5,7,1,2
5,9,1,2
5,10,1,2
5,11,1,2
5,0,1,3
5,1,1,3
5,2,1,3
5,3,1,3
5,4,1,3
5,7,1,3
5,10,1,3
5,13,1,3
5,14,1,3
5,15,1,3
5,16,1,3
5,18,1,3
5,19,1,3
5,20,1,3
5,21,1,3
5,22,1,3
5,23,1,3
5,25,1,3
5,26,1,3
5,28,1,3
6,2,1,1
6,2,1,2
6,2,1,3
7,0,1,1
7,1,1,1
7,2,1,1
7,3,1,1
7,4,1,1
7,5,1,1
7,6,1,1
7,9,1,1
7,10,1,1
7,11,1,1
7,12,1,1
7,13,1,1
7,14,1,1
7,15,1,1
7,16,1,1
7,17,1,1
7,18,1,1
7,19,1,1
7,20,1,1
7,21,1,1
7,22,1,1
7,23,1,1
7,24,1,1
7,25,1,1
7,26,1,1
7,27,1,1
7,28,1,1
7,0,1,2
7,1,1,2
7,2,1,2
7,3,1,2
7,4,1,2
7,5,1,2
7,6,1,2
7,9,1,2
7,10,1,2
7,11,1,2
7,12,1,2
7,13,1,2
7,14,1,2
7,15,1,2
7,16,1,2
7,19,1,2
7,20,1,2
7,21,1,2
7,23,1,2
7,26,1,2
7,27,1,2
7,28,1,2
7,0,1,3
7,1,1,3
7,2,1,3
7,3,1,3
7,4,1,3
7,5,1,3
7,6,1,3
7,9,1,3
7,10,1,3
7,11,1,3
7,13,1,3
7,15,1,3
7,16,1,3
7,18,1,3
7,19,1,3
7,20,1,3
7,21,1,3
7,22,1,3
7,23,1,3
8,0,1,1
8,1,1,1
8,2,1,1
8,3,1,1
8,6,1,1
8,7,1,1
8,10,1,1
8,11,1,1
8,13,1,1
8,15,1,1
8,16,1,1
8,17,1,1
8,18,1,1
8,22,1,1
8,23,1,1
8,24,1,1
8,25,1,1
8,27,1,1
8,28,1,1
8,0,1,2
8,1,1,2
8,7,1,2
8,10,1,2
8,25,1,2
8,2,1,3
8,7,1,3
8,10,1,3
8,15,1,3
8,22,1,3
8,25,1,3
9,1,1,1
9,4,1,1
9,8,1,1
9,11,1,1
9,1,1,2
9,4,1,2
9,1,1,3
9,4,1,3
9,7,1,3
9,10,1,3
10,0,1,1
10,1,1,1
10,2,1,1
10,3,1,1
10,4,1,1
10,5,1,1
10,6,1,1
10,7,1,1
10,9,1,1
10,11,1,1
10,12,1,1
10,13,1,1
10,14,1,1
10,15,1,1
10,16,1,1
10,17,1,1
10,18,1,1
10,19,1,1
10,20,1,1
10,21,1,1
10,22,1,1
10,23,1,1
10,24,1,1
10,25,1,1
10,26,1,1
10,27,1,1
10,28,1,1
10,0,1,2
10,1,1,2
10,2,1,2
10,3,1,2
10,4,1,2
10,5,1,2
10,6,1,2
10,7,1,2
10,9,1,2
10,11,1,2
10,12,1,2
10,13,1,2
10,15,1,2
10,18,1,2
10,19,1,2
10,20,1,2
10,21,1,2
10,0,1,3
10,1,1,3
10,2,1,3
10,3,1,3
10,4,1,3
10,5,1,3
10,6,1,3
10,7,1,3
10,9,1,3
10,11,1,3
10,13,1,3
10,15,1,3
10,19,1,3
10,20,1,3
10,21,1,3
10,22,1,3
11,0,1,1
11,4,1,1
11,5,1,1
11,7,1,1
11,10,1,1
11,13,1,1
11,15,1,1
11,16,1,1
11,21,1,1
11,0,1,2
11,7,1,2
11,10,1,2
11,0,1,3
11,1,1,3
11,2,1,3
11,4,1,3
11,5,1,3
11,10,1,3
11,13,1,3
11,14,1,3
11,15,1,3
12,13,1,1
12,14,1,1
12,15,1,1
12,16,1,1
12,17,1,1
12,18,1,1
12,19,1,1
12,20,1,1
12,21,1,1
12,22,1,1
12,23,1,1
12,24,1,1
12,25,1,1
12,26,1,1
12,28,1,1
12,13,1,2
12,17,1,2
12,19,1,2
12,20,1,2
12,21,1,2
12,22,1,2
12,24,1,2
12,28,1,2
12,13,1,3
12,14,1,3
12,15,1,3
12,17,1,3
12,19,1,3
12,20,1,3
12,21,1,3
12,22,1,3
12,23,1,3
12,24,1,3
13,1,1,1
13,4,1,1
13,10,1,1
13,14,1,1
13,15,1,1
13,16,1,1
13,18,1,1
13,19,1,1
13,20,1,1
13,21,1,1
13,22,1,1
13,23,1,1
13,25,1,1
13,26,1,1
13,18,1,2
13,19,1,2
13,20,1,2
13,21,1,2
13,22,1,2
13,25,1,2
13,26,1,2
13,14,1,3
13,15,1,3
13,16,1,3
13,18,1,3
13,19,1,3
13,20,1,3
13,21,1,3
13,22,1,3
13,23,1,3
13,25,1,3
13,26,1,3
14,4,1,1
14,13,1,1
14,15,1,1
14,18,1,1
14,19,1,1
14,20,1,1
14,21,1,1
14,22,1,1
14,23,1,1
14,25,1,1
14,26,1,1
14,27,1,1
14,28,1,1
14,13,1,2
14,15,1,2
14,18,1,2
14,19,1,2
14,20,1,2
14,21,1,2
14,22,1,2
14,23,1,2
14,15,1,3
14,20,1,3
15,0,1,1
15,1,1,1
15,4,1,1
15,9,1,1
15,10,1,1
15,11,1,1
15,13,1,1
15,14,1,1
15,16,1,1
15,18,1,1
15,19,1,1
15,20,1,1
15,21,1,1
15,22,1,1
15,23,1,1
15,25,1,1
15,13,1,2
15,14,1,2
15,19,1,2
15,20,1,2
15,21,1,2
15,22,1,2
15,13,1,3
15,14,1,3
15,16,1,3
15,19,1,3
15,20,1,3
15,21,1,3
16,0,1,1
16,10,1,1
16,11,1,1
16,12,1,1
16,13,1,1
16,14,1,1
16,15,1,1
16,18,1,1
16,23,1,1
16,25,1,1
16,27,1,1
16,28,1,1
16,23,1,2
16,28,1,2
16,23,1,3
17,7,1,1
17,8,1,1
17,12,1,1
17,15,1,1
17,24,1,1
17,12,1,2
17,24,1,2
17,24,1,3
18,13,1,1
18,14,1,1
18,15,1,1
18,16,1,1
18,17,1,1
18,19,1,1
18,20,1,1
18,21,1,1
18,22,1,1
18,23,1,1
18,25,1,1
18,26,1,1
18,13,1,2
18,19,1,2
18,20,1,2
18,21,1,2
18,22,1,2
18,23,1,2
18,13,1,3
18,14,1,3
18,15,1,3
18,19,1,3
18,20,1,3
18,21,1,3
18,22,1,3
18,23,1,3
18,26,1,3
18,27,1,3
18,28,1,3
19,1,1,1
19,4,1,1
19,10,1,1
19,12,1,1
19,13,1,1
19,14,1,1
19,15,1,1
19,18,1,1
19,20,1,1
19,21,1,1
19,22,1,1
19,23,1,1
19,24,1,1
19,25,1,1
19,26,1,1
19,13,1,2
19,14,1,2
19,15,1,2
19,18,1,2
19,20,1,2
19,21,1,2
19,22,1,2
19,26,1,2
19,13,1,3
19,14,1,3
19,15,1,3
19,18,1,3
19,20,1,3
19,21,1,3
19,22,1,3
19,26,1,3
20,0,1,1
20,1,1,1
20,4,1,1
20,10,1,1
20,13,1,1
20,15,1,1
20,18,1,1
20,19,1,1
20,21,1,1
20,22,1,1
20,13,1,2
20,15,1,2
20,18,1,2
20,19,1,2
20,21,1,2
20,22,1,2
20,13,1,3
20,15,1,3
20,18,1,3
20,19,1,3
20,21,1,3
20,22,1,3
21,1,1,1
21,4,1,1
21,10,1,1
21,13,1,1
21,14,1,1
21,15,1,1
21,18,1,1
21,19,1,1
21,20,1,1
21,22,1,1
21,25,1,1
21,26,1,1
21,28,1,1
21,13,1,2
21,14,1,2
21,18,1,2
21,19,1,2
21,20,1,2
21,22,1,2
21,25,1,2
21,26,1,2
21,13,1,3
21,14,1,3
21,15,1,3
21,18,1,3
21,19,1,3
21,20,1,3
21,22,1,3
21,25,1,3
21,26,1,3
22,13,1,1
22,14,1,1
22,15,1,1
22,18,1,1
22,19,1,1
22,20,1,1
22,21,1,1
22,24,1,1
22,25,1,1
22,26,1,1
22,28,1,1
22,13,1,2
22,14,1,2
22,15,1,2
22,18,1,2
22,19,1,2
22,20,1,2
22,21,1,2
22,13,1,3
22,14,1,3
22,15,1,3
22,18,1,3
22,19,1,3
22,20,1,3
22,21,1,3
22,23,1,3
23,12,1,1
23,13,1,1
23,14,1,1
23,15,1,1
23,16,1,1
23,17,1,1
23,18,1,1
23,19,1,1
23,20,1,1
23,21,1,1
23,22,1,1
23,24,1,1
23,25,1,1
23,26,1,1
23,27,1,1
23,28,1,1
23,13,1,2
23,14,1,2
23,16,1,2
23,18,1,2
23,22,1,2
23,25,1,2
23,26,1,2
23,27,1,2
23,28,1,2
23,14,1,3
23,15,1,3
23,16,1,3
23,18,1,3
23,25,1,3
23,26,1,3
23,28,1,3
24,7,1,1
24,8,1,1
24,10,1,1
24,12,1,1
24,17,1,1
24,12,1,2
24,17,1,2
24,17,1,3
25,13,1,1
25,14,1,1
25,15,1,1
25,18,1,1
25,19,1,1
25,21,1,1
25,22,1,1
25,26,1,1
25,19,1,2
25,21,1,2
25,26,1,2
25,19,1,3
25,21,1,3
25,26,1,3
26,13,1,1
26,16,1,1
26,18,1,1
26,19,1,1
26,20,1,1
26,21,1,1
26,25,1,1
26,27,1,1
26,28,1,1
26,16,1,2
26,25,1,2
26,25,1,3
27,1,1,1
27,3,1,1
27,4,1,1
27,7,1,1
27,8,1,1
27,11,1,1
27,12,1,1
27,14,1,1
27,16,1,1
27,19,1,1
27,20,1,1
27,22,1,1
27,23,1,1
27,25,1,1
27,26,1,1
27,28,1,1
27,8,1,2
27,12,1,2
27,14,1,2
27,22,1,2
27,23,1,2
27,28,1,2
27,12,1,3
27,14,1,3
27,22,1,3
27,23,1,3
27,25,1,3
27,26,1,3
27,28,1,3
28,1,1,1
28,3,1,1
28,7,1,1
28,8,1,1
28,12,1,1
28,16,1,1
28,22,1,1
28,23,1,1
28,25,1,1
28,26,1,1
28,27,1,1
28,12,1,2
28,22,1,2
28,23,1,2
28,26,1,2
28,27,1,2
28,12,1,3
28,22,1,3
28,23,1,3
28,26,1,3
28,27,1,3
