size,cl,dout,din
Lemonde.fr,1,108,242
Lefigaro.fr,1,74,233
Leparisien.fr,1,11,232
Francetvinfo.fr,1,122,220
Liberation.fr,1,34,195
Lepoint.fr,1,56,184
20minutes.fr,1,70,180
Europe1.fr,1,65,176
Lesechos.fr,1,5,176
Bfmtv.com,1,24,175
Huffingtonpost.fr,1,88,171
Lexpress.fr,1,100,171
Nouvelobs.com,1,68,168
Ouest-France.fr,1,0,160
Rtl.fr,1,56,157
Lejdd.fr,1,54,152
Francebleu.fr,1,19,142
Ladepeche.fr,1,37,136
Sudouest.fr,1,27,130
Slate.fr,1,107,129
Lci.fr,1,64,120
Capital.fr,1,59,97
Sciencesetavenir.fr,1,33,94
Lequipe.fr,1,20,85
Buzzfeed.com,1,99,80
Quechoisir.org,1,0,54
Closermag.fr,1,112,53
Allodocteurs.fr,1,58,29
Grazia.fr,1,166,27
Topito.com,1,100,21
Vogue.fr,1,2,12
Lechasseurfrancais.com,1,2,3
Leouestfranc.com,1,18,0
Parismatch.com,2,42,109
Lavoixdunord.fr,2,0,103
Midilibre.fr,2,18,100
Nicematin.com,2,2,82
Laprovence.com,2,2,80
rmc.Bfmtv.com,2,9,79
Letelegramme.fr,2,13,76
Linternaute.com,2,30,71
Actu.fr,2,40,66
madame.Lefigaro.fr,2,22,60
Francesoir.fr,2,37,58
tvmag.Lefigaro.fr,2,24,57
Lanouvellerepublique.fr,2,0,55
Publicsenat.fr,2,21,55
Varmatin.com,2,14,52
Gala.fr,2,26,46
Cnews.fr,2,23,45
Paris-Normandie.fr,2,10,44
60millions-Mag.com,2,9,44
Jeanmarcmorandini.com,2,22,42
Lindependant.fr,2,0,40
Marieclaire.fr,2,0,38
Elle.fr,2,10,36
Voici.fr,2,44,36
Charentelibre.fr,2,23,35
Telestar.fr,2,40,34
Premiere.fr,2,17,33
Lunion.fr,2,5,30
Psychologies.com,2,42,29
Public.fr,2,16,29
Corsematin.com,2,6,28
Femmeactuelle.fr,2,61,28
Presseocean.fr,2,0,26
Autoplus.fr,2,17,25
24matins.fr,2,21,24
Courrierdelouest.fr,2,6,24
Larepubliquedespyrenees.fr,2,1,24
Vsd.fr,2,0,23
Journaldesfemmes.com,2,33,22
Cnewsmatin.fr,2,1,20
premium.Lefigaro.fr /.../le-scan,2,1,20
Lest-Eclair.fr,2,0,19
Lemainelibre.fr,2,0,17
o.Nouvelobs.com,2,19,15
E-Sante.fr,2,14,13
Francefootball.fr,2,2,13
Letribunaldunet.fr,2,5,12
Lamarseillaise.fr,2,11,11
Cosmopolitan.fr,2,2,11
Centrepresseaveyron.fr,2,10,9
Caminteresse.fr,2,1,9
Bibamagazine.fr,2,11,7
Mariefrance.fr,2,22,5
Francedimanche.fr,2,2,4
Letopdelhumour.fr,2,6,3
Non-Stop-Politique.fr,2,39,3
Lapressedelamanche.fr,2,1,3
Lasemaine.fr,2,1,3
Morandinisante.com,2,40,2
Be.com,2,3,2
Onzemondial.com,2,9,2
Lasardineduport.fr,2,23,1
Horsdevospenses0833.blogspot.com,2,12,0
Ledauphine.com,3,26,98
Leprogres.fr,3,24,84
Estrepublicain.fr,3,24,71
Courrier-Picard.fr,3,0,57
Lalsace.fr,3,21,53
Dna.fr,3,24,50
Lamontagne.fr,3,20,47
Bienpublic.com,3,33,45
Republicain-Lorrain.fr,3,26,40
Lejsl.com,3,37,29
Larep.fr,3,8,28
Vosgesmatin.fr,3,26,28
Lecanardenchaine.fr,3,0,25
Lepopulaire.fr,3,13,22
Leberry.fr,3,0,21
Lechorepublicain.fr,3,8,19
Lyonne.fr,3,10,17
Nordeclair.fr,3,0,15
Lejdc.fr,3,13,13
Femina.fr,3,29,10
Leveil.fr,3,4,8
Jhm.fr,3,0,6
Info24.fr,3,18,4
Lechodelaboucle.fr,3,3,1
Franceinter.fr,4,46,147
La-Croix.com,4,0,122
Mediapart.fr,4,32,119
Challenges.fr,4,39,118
Rfi.fr,4,0,113
Marianne.net,4,36,107
Latribune.fr,4,12,105
